category,sub_category,details,value
Accidents,Road traffic accidents,Road traffic accidents,60261708.6
Accidents,Poisonings,Poisonings,35376511.86
Accidents,Falls,Falls,39228395.67
Accidents,Fires,Fires,31423262.69
Accidents,Drownings,Drownings,39025664.95
Accidents,Plane crashes,Plane crashes,120704
Accidents,Train crashes,Train crashes,14282
Accidents,Maritime disasters,Maritime disasters,31194
Accidents,Industrial accidents,Industrial accidents,3970
Accidents,Sporting accidents/disasters,Sporting accidents/disasters,1998
Accidents,Space exploration,Space exploration,22
Accidents,"incl. accidents involving machinery or garden tools, accidental gas explosions, suffocation","incl. accidents involving machinery or garden tools, accidental gas explosions, suffocation",92475772.24
Air Pollution,Air pollution,Air pollution,115677303.5
Animals,Animals,Bears,7304
Animals,Animals,Crocodiles,199447.1891
Animals,Animals,Elephants,48198.87646
Animals,Animals,Lions,24930.89864
Animals,Animals,Wolves,342
Animals,Animals,Snakes,5934865.268
Animals,Animals,Jellyfish,3432.184126
Animals,Animals,Sharks,574.9544373
Animals,Animals,Scorpions,498617.9727
Artificial Energy,Nuclear accidents (incl. cancer deaths to date),Chernobyl,50
Artificial Energy,Nuclear accidents (incl. cancer deaths to date),"Mayak Explosion, 1957",49
Artificial Energy,Nuclear accidents (incl. cancer deaths to date),"Windscale, UK, 1957",100
Artificial Energy,Nuclear accidents (incl. cancer deaths to date),Others,119
Artificial Energy,Fossil fuels,Carbon monoxide,50000
Artificial Energy,Fossil fuels,Climate change since 1970,3731617.012
Cancer,Cancer,Mouth / oropharynx,23719495.06
Cancer,Cancer,Oesophagus,33298521.91
Cancer,Cancer,Stomach,64012227.05
Cancer,Cancer,Colorectal,46678749.89
Cancer,Cancer,Liver,46146581.73
Cancer,Cancer,Pancreas,17257453.14
Cancer,Cancer,"Lung, trachea, bronchus",93281475.76
Cancer,Cancer,Melanoma / skin,4941561.471
Cancer,Cancer,Breast,35959362.7
Cancer,Cancer,Cervix,17865645.32
Cancer,Cancer,Uterus,5397705.606
Cancer,Cancer,Ovary,10035170.99
Cancer,Cancer,Prostate,20070341.97
Cancer,Cancer,Bladder,13304203.96
Cancer,Cancer,Lymphomas / multiple myeloma,25163951.49
Cancer,Cancer,Leukaemia,19994317.95
Cancer,Cancer,Others,56713920.88
Drugs,Illegal drugs,Illegal drugs,6538065.946
Drugs,Tobacco,Tobacco,100000000
Drugs,Alcohol,Alcohol,8514690.534
Famine,Famine,Nigeria 1903-06,5000
Famine,Famine,Tanzania 1906-07,37500
Famine,Famine,West Africa 1913-14,125000
Famine,Famine,Tanzania 1917-19,30000
Famine,Famine,China 1920-21,500000
Famine,Famine,Soviet Union 1921-22,9000000
Famine,Famine,China 1927,3000000
Famine,Famine,China 1929,2000000
Famine,Famine,Soviet Union 1932-34,7000000
Famine,Famine,Greece 1941,300000
Famine,Famine,China 1943,5000000
Famine,Famine,India 1943,2100000
Famine,Famine,Rwanda 1943-44,300000
Famine,Famine,Netherlands 1944,10000
Famine,Famine,Soviet Union 1946-47,2000000
Famine,Famine,Ethiopia 1957-58,100000
Famine,Famine,China 1958-62,30000000
Famine,Famine,Ethiopia 1966,200000
Famine,Famine,Somalia 1974-5,20000
Famine,Famine,Bangladesh 1974,1500000
Famine,Famine,Cambodia 1979,1500000
Famine,Famine,Uganda 1980-81,30000
Famine,Famine,Mozambique 1982-85,100000
Famine,Famine,Ethiopia 1983-85,590000
Famine,Famine,Sudan 1984-85,250000
Famine,Famine,Sudan 1988,250000
Famine,Famine,Somalia 1991-93,300000
Famine,Famine,North Korea 1995-1999,2800000
Famine,Famine,Sudan 1998,70000
Famine,Famine,Protein-energy malnutrition,31676676.09
Ideology,Communism,China (1949-1976?),65000000
Ideology,Communism,Soviet Union (1922-1953?),20000000
Ideology,Communism,Cambodia (1975-1979),1700000
Ideology,Communism,North Korea (1948-1987),2000000
Ideology,Communism,Africa (1974-1987?),1700000
Ideology,Communism,Afghanistan (1979-1986),1500000
Ideology,Communism,Eastern Europe,1000000
Ideology,Communism,Vietnam (1945-1956),1000000
Ideology,Communism,Latin America,150000
Ideology,Communism,Other Communist activities,10000
Ideology,Fascism,Spain (Franco) (1939-1975),514266
Ideology,Fascism,Nazi Germany 1933-1945,20946000
Ideology,Fascism,Japan 1936-1945,6000000
Ideology,Fascism,Argentina (Operation Condor) 1975-1980s?,60000
Ideology,Fascism,Chile (Pinochet) 1974-1990,1850
Ideology,Fascism,Italy (Mussolini) 1922-1943,300000
Ideology,Ba'athism,Saddam Hussein,2000000
Ideology,Catholicism,Condom edicts (1968-2010),3000000
Ideology,Democracy,US foreign policy,573000
Ideology,Democracy,"Conflicts waged by US in name of democracy, 1945-99",13786750
Ideology,Democracy,"Conflicts waged by US in name of democracy, pre-1945 (excluding WW1 and 2)",200000
Ideology,Democracy,Philippine-American war (1899-1902),200000
Ideology,Fighting for democracy,Myanmar 1988,3000
Ideology,Fighting for democracy,Tianamen Sq 1989,2600
Ideology,Fighting for democracy,8888 Uprising 1988,10000
Ideology,Fighting for democracy,"Tiatelolco massacre, Mexico 1968",44
Ideology,Terrorism,1900-1949,523
Ideology,Terrorism,1949-1989,2982
Ideology,Terrorism,1990-1999,2111
Infectious Disease,Dengue,Dengue,2407427.383
Infectious Disease,Diarrhoea,Cholera,2344560
Infectious Disease,Diarrhoea,Typhoid in Russian Civil War,1890000
